Number	False Cognate	Pre-target sentence	Target word	Post-target sentence	Filler word	Comprehension question	Correct answer	Question	Answer	Use in experiment	experimental_sentence	filler_sentence	target_position	post_target_position
37	TRUE	The fierce	contest	was too much for the boxer and he passed out.	beating	NA	NA	NA	NA	Yes	The fierce contest was too much for the boxer and he passed out.	The fierce beating was too much for the boxer and he passed out.	11	19
38	TRUE	The lady said that the largest	camp	was crowded with children.	ward	NA	NA	NA	NA	Yes	The lady said that the largest camp was crowded with children.	The lady said that the largest ward was crowded with children.	31	36
39	TRUE	They were checking the	available	reports of crimes in the area.	increased	NA	NA	NA	NA	Yes	They were checking the available reports of crimes in the area.	They were checking the increased reports of crimes in the area.	23	33
40	TRUE	The businessman could not	attend	the meeting at that time.	handle	NA	NA	NA	NA	Yes	The businessman could not attend the meeting at that time.	The businessman could not handle the meeting at that time.	26	33
41	TRUE	Adriana bought	red	curtains for her windows.	ten	NA	NA	Did Adriana buy curtains?	YES	Yes	Adriana bought red curtains for her windows.	Adriana bought ten curtains for her windows.	15	19
42	TRUE	In the scientist’s	letter	she explained how her discovery could help society.	answer	NA	NA	NA	NA	Yes	In the scientist’s letter she explained how her discovery could help society.	In the scientist’s answer she explained how her discovery could help society.	19	26
43	TRUE	The country’s	anthem	inspired patriotism in every citizen.	charms	NA	NA	NA	NA	Yes	The country’s anthem inspired patriotism in every citizen.	The country’s charms inspired patriotism in every citizen.	14	21
44	TRUE	Many people came to see the famous	scholar	in the museum.	dresses	NA	NA	Did many people go to the museum?	YES	Yes	Many people came to see the famous scholar in the museum.	Many people came to see the famous dresses in the museum.	35	43
45	TRUE	The fisherman’s large	lunch	made him very happy.	catch	NA	NA	Was the fisherman sad?	NO	Yes	The fisherman’s large lunch made him very happy.	The fisherman’s large catch made him very happy.	22	28
46	TRUE	The captain bought a new	net	for his ship.	box	NA	NA	NA	NA	Yes	The captain bought a new net for his ship.	The captain bought a new box for his ship.	25	29
47	TRUE	The boy said that the	junk	was in front of the gate.	calf	NA	NA	Was there anything behind the gate?	NO	Yes	The boy said that the junk was in front of the gate.	The boy said that the calf was in front of the gate.	22	27
48	TRUE	The professor described difficult	policy	issues in her new book.	health	NA	NA	Was the professor's book old?	NO	Yes	The professor described difficult policy issues in her new book.	The professor described difficult health issues in her new book.	34	41
49	TRUE	The driver did not	notice	the fence even though his car touched it.	damage	NA	NA	NA	NA	Yes	The driver did not notice the fence even though his car touched it.	The driver did not damage the fence even though his car touched it.	19	26
51	TRUE	People learned about the president’s secret	journal	only after his death.	beliefs	NA	NA	Is the president alive?	NO	Yes	People learned about the president’s secret journal only after his death.	People learned about the president’s secret beliefs only after his death.	44	52
52	TRUE	Max tried to carefully	push	the heavy chair into his car.	ease	NA	NA	Was the chair light?	NO	Yes	Max tried to carefully push the heavy chair into his car.	Max tried to carefully ease the heavy chair into his car.	23	28
53	TRUE	We must	fill	the box with ice so that the food does not go bad.	cool	NA	NA	NA	NA	Yes	We must fill the box with ice so that the food does not go bad.	We must cool the box with ice so that the food does not go bad.	8	13
54	TRUE	The engineers checked the	integral	parts of the machine to make sure they worked.	enhanced	NA	NA	NA	NA	Yes	The engineers checked the integral parts of the machine to make sure they worked.	The engineers checked the enhanced parts of the machine to make sure they worked.	26	35
